station_name,line,status
老西门,10号线,active
新天地,10号线,active
陕西南路,10号线,active
上海图书馆,10号线,active
交通大学,10号线,active
虹桥路,10号线,active
宋园路,10号线,active
伊犁路,10号线,active
水城路,10号线,active
龙溪路,10号线,active
上海动物园,10号线,active
虹桥1号航站楼,10号线,active
虹桥2号航站楼,10号线,active
虹桥火车站,10号线,active
龙柏新村,10号线,active
紫藤路,10号线,active
航中路,10号线,active
迪士尼,11号线,active
康新公路,11号线,active
秀沿路,11号线,active
罗山路,11号线,active
御桥,11号线,active
浦三路,11号线,active
三林东,11号线,active
三林,11号线,active
东方体育中心,11号线,active
龙耀路,11号线,active
云锦路,11号线,active
龙华,11号线,active
上海游泳馆,11号线,active
徐家汇,11号线,active
交通大学,11号线,active
江苏路,11号线,active
隆德路,11号线,active
曹杨路,11号线,active
枫桥路,11号线,active
真如,11号线,active
上海西站,11号线,active
李子园,11号线,active
祁连山路,11号线,active
武威路,11号线,active
桃浦新村,11号线,active
南翔,11号线,active
马陆,11号线,active
嘉定新城,11号线,active
白银路,11号线,active
嘉定西,11号线,active
嘉定北,11号线,active
上海赛车场,11号线,active
昌吉东路,11号线,active
安亭,11号线,active
兆丰路,11号线,active
光明路,11号线,active
花桥,11号线,active
金海路,12号线,active
申江路,12号线,active
金京路,12号线,active
杨高北路,12号线,active
巨峰路,12号线,active
东陆路,12号线,active
复兴岛,12号线,active
爱国路,12号线,active
隆昌路,12号线,active
宁国路,12号线,active
江浦公园,12号线,active
大连路,12号线,active
提篮桥,12号线,active
国际客运中心,12号线,active
天潼路,12号线,active
曲阜路,12号线,active
汉中路,12号线,active
南京西路,12号线,active
陕西南路,12号线,active
嘉善路,12号线,active
大木桥路,12号线,active
龙华中路,12号线,active
龙华,12号线,active
龙漕路,12号线,active
漕宝路,12号线,active
桂林公园,12号线,active
虹漕路,12号线,active
虹梅路,12号线,active
东兰路,12号线,active
顾戴路,12号线,active
虹莘路,12号线,active
七莘路,12号线,active
金运路,13号线,active
金沙江西路,13号线,active
丰庄,13号线,active
祁连山南路,13号线,active
真北路,13号线,active
大渡河路,13号线,active
金沙江路,13号线,active
隆德路,13号线,active
武宁路,13号线,active
长寿路,13号线,active
江宁路,13号线,active
汉中路,13号线,active
南京西路,13号线,active
淮海中路,13号线,active
新天地,13号线,active
马当路,13号线,active
世博会博物馆,13号线,active
世博大道,13号线,active
长清路,13号线,active
成山路,13号线,active
